;name;time_series_length;window_length;num_of_anomalies;ts_comparison_name;mmd_value;dwt_value;shapelet_similarity
0;stb-10.test.out;10000;6;2132;stb-11.test.out;0.0;0.0;0.0
1;stb-11.test.out;10000;7;2246;stb-12.test.out;0.0;49.466;0.0
2;stb-12.test.out;10000;7;2432;stb-13.test.out;0.0;0.0;0.0
3;stb-13.test.out;10000;7;2432;stb-14.test.out;0.0;0.0;0.0
4;stb-14.test.out;10000;6;2425;stb-15.test.out;0.0;0.0;0.0
5;stb-15.test.out;10000;100;3288;stb-17.test.out;0.0;0.0;0.0
6;stb-17.test.out;10000;100;2141;stb-18.test.out;0.0;0.0;0.0
7;stb-18.test.out;10000;6;1985;stb-19.test.out;0.0;0.0;0.0
8;stb-19.test.out;10000;100;2363;stb-2.test.out;0.0;0.0;0.0
9;stb-2.test.out;10000;12;2480;stb-20.test.out;0.0;0.04;0.0
10;stb-20.test.out;10000;6;2425;stb-25.test.out;0.0;0.0;0.0
11;stb-25.test.out;10000;6;2027;stb-28.test.out;0.0;0.0;0.0
12;stb-28.test.out;10000;6;2011;stb-29.test.out;0.0;0.0;0.0
13;stb-29.test.out;10000;100;2266;stb-3.test.out;0.0;0.0;0.0
14;stb-3.test.out;10000;100;2473;stb-31.test.out;0.0;0.0;0.0
15;stb-31.test.out;10000;6;1947;stb-32.test.out;0.0;0.0;0.0
16;stb-32.test.out;10000;6;1960;stb-4.test.out;0.0;0.0;0.0
17;stb-4.test.out;10000;100;1636;stb-5.test.out;0.0;0.0;0.0
18;stb-5.test.out;10000;6;1601;stb-6.test.out;0.0;170.586;0.0
19;stb-6.test.out;10000;9;2640;stb-7.test.out;0.0;0.0;0.0
20;stb-7.test.out;10000;100;2274;stb-8.test.out;0.0;0.0;0.0
21;stb-8.test.out;10000;6;2473;stb-9.test.out;0.0;0.08;0.0
22;stb-10.test.out;29518;6;7017;stb-11.test.out;0.0;0.0;0.0
23;stb-11.test.out;29517;8;6766;stb-12.test.out;0.0;49.466;0.0
24;stb-12.test.out;29517;12;7330;stb-13.test.out;0.0;0.0;0.0
25;stb-13.test.out;29517;8;7487;stb-14.test.out;0.0;0.0;0.0
26;stb-14.test.out;29518;6;7468;stb-15.test.out;0.0;0.0;0.0
27;stb-15.test.out;30493;6;8965;stb-17.test.out;0.0;0.0;0.0
28;stb-17.test.out;25296;100;6415;stb-18.test.out;0.0;12.0;0.0
29;stb-18.test.out;25283;6;5994;stb-19.test.out;0.0;0.0;0.0
30;stb-19.test.out;30493;100;8677;stb-2.test.out;0.0;0.0;0.0
31;stb-2.test.out;29553;13;4307;stb-20.test.out;0.0;234.867;0.0
32;stb-20.test.out;29518;6;7168;stb-25.test.out;0.0;0.0;0.0
33;stb-25.test.out;20734;6;4810;stb-28.test.out;0.0;0.0;0.0
34;stb-28.test.out;20734;6;4794;stb-29.test.out;0.0;0.0;0.0
35;stb-29.test.out;20734;100;3405;stb-3.test.out;0.0;135.244;0.0
36;stb-3.test.out;30356;100;7251;stb-31.test.out;0.0;0.0;0.0
37;stb-31.test.out;20734;6;4572;stb-32.test.out;0.0;0.0;0.0
38;stb-32.test.out;20733;100;4739;stb-4.test.out;0.0;0.0;0.0
39;stb-4.test.out;30356;100;6986;stb-5.test.out;0.0;0.0;0.0
40;stb-5.test.out;29520;100;6393;stb-6.test.out;0.0;170.586;0.0
41;stb-6.test.out;25818;9;6446;stb-7.test.out;0.0;0.04;0.0
42;stb-7.test.out;24906;100;7552;stb-8.test.out;0.0;115.643;0.0
43;stb-8.test.out;29519;100;7572;stb-9.test.out;0.0;0.08;0.0
